Data,"Tipo Residuo","Peso"
2024-11-07,"Monstros","32640,00"
2024-11-07,"Restos Comida","7400,00"
2024-11-07,"Plastico","6920,00"
2024-11-07,"Papel","27220,00"
2024-11-07,"Residuos Limpeza","19080,00"
2024-11-07,"Vidro","11180,00"
2024-11-07,"Indiferenciado","265640,00"
2024-11-07,"Cortes de Jardim","90080,00"
2024-11-06,"Residuos Limpeza","21400,00"
2024-11-06,"Plastico","6740,00"
2024-11-06,"Restos Comida","8240,00"
2024-11-06,"Papel","15200,00"
2024-11-06,"Vidro","16340,00"
2024-11-06,"Monstros","22620,00"
2024-11-06,"Cortes de Jardim","115180,00"
2024-11-06,"Indiferenciado","226340,00"
2024-11-05,"Residuos Limpeza","10020,00"
2024-11-05,"Indiferenciado","226940,00"
2024-11-05,"Monstros","17300,00"
2024-11-05,"Vidro","18420,00"
2024-11-05,"Restos Comida","7200,00"
2024-11-05,"Papel","4220,00"
2024-11-05,"Plastico","34780,00"
2024-11-05,"Cortes de Jardim","98240,00"
2024-11-04,"Indiferenciado","214980,00"
2024-11-04,"Restos Comida","13600,00"
2024-11-04,"Residuos Limpeza","5120,00"
2024-11-04,"Vidro","6700,00"
2024-11-04,"Papel","38340,00"
2024-11-04,"Plastico","3680,00"
2024-11-04,"Monstros","16740,00"
2024-11-04,"Cortes de Jardim","100020,00"
2024-11-03,"Indiferenciado","214260,00"
2024-11-03,"Papel","4100,00"
2024-11-03,"Monstros","580,00"
2024-11-03,"Residuos Limpeza","460,00"
2024-11-02,"Indiferenciado","234020,00"
2024-11-02,"Vidro","18940,00"
2024-11-02,"Residuos Limpeza","1340,00"
2024-11-02,"Plastico","14200,00"
2024-11-02,"Cortes de Jardim","84200,00"
2024-11-02,"Monstros","17560,00"
2024-11-02,"Restos Comida","7980,00"
2024-11-02,"Papel","10700,00"
2024-11-01,"Indiferenciado","233660,00"
2024-11-01,"Cortes de Jardim","22940,00"
2024-11-01,"Monstros","3380,00"
2024-11-01,"Papel","3360,00"
2024-11-01,"Plastico","15500,00"
2024-11-01,"Restos Comida","7940,00"
2024-10-31,"Cortes de Jardim","86400,00"
2024-10-31,"Papel","31540,00"
2024-10-31,"Vidro","13160,00"
2024-10-31,"Indiferenciado","247640,00"
2024-10-31,"Restos Comida","8420,00"
2024-10-31,"Residuos Limpeza","26980,00"
2024-10-31,"Plastico","4540,00"
2024-10-31,"Monstros","27440,00"
2024-10-30,"Indiferenciado","237640,00"
2024-10-30,"Plastico","8280,00"
2024-10-30,"Vidro","26480,00"
2024-10-30,"Cortes de Jardim","95280,00"
2024-10-30,"Papel","19220,00"
2024-10-30,"Restos Comida","9320,00"
2024-10-30,"Monstros","24580,00"
2024-10-30,"Residuos Limpeza","13980,00"
2024-10-29,"Vidro","9820,00"
2024-10-29,"Papel","4140,00"
2024-10-29,"Monstros","22680,00"
2024-10-29,"Plastico","39020,00"
2024-10-29,"Cortes de Jardim","97000,00"
2024-10-29,"Indiferenciado","228120,00"
2024-10-29,"Residuos Limpeza","14560,00"
2024-10-29,"Restos Comida","9020,00"
2024-10-28,"Indiferenciado","245140,00"
2024-10-28,"Cortes de Jardim","99280,00"
2024-10-28,"Papel","37740,00"
2024-10-28,"Monstros","20140,00"
2024-10-28,"Restos Comida","14900,00"
2024-10-28,"Plastico","3860,00"
2024-10-28,"Residuos Limpeza","53980,00"
2024-10-28,"Vidro","5040,00"
2024-10-27,"Papel","5340,00"
2024-10-27,"Indiferenciado","210840,00"
2024-10-27,"Monstros","40,00"
2024-10-26,"Cortes de Jardim","102760,00"
2024-10-26,"Vidro","7200,00"
2024-10-26,"Indiferenciado","227900,00"
2024-10-26,"Residuos Limpeza","49000,00"
2024-10-26,"Plastico","4640,00"
2024-10-26,"Restos Comida","7980,00"
2024-10-26,"Papel","12360,00"
2024-10-26,"Monstros","22360,00"
2024-10-25,"Indiferenciado","233920,00"
2024-10-25,"Cortes de Jardim","84040,00"
2024-10-25,"Papel","5800,00"
2024-10-25,"Vidro","14320,00"
2024-10-25,"Monstros","17440,00"
